school_id,school_name_minkou,address_minkou,gaccom_id,school_name_gaccom,address_gaccom,addr_score,name_score,match_score
30708,鹿浜西小学校,東京都 足立区 鹿浜２－２４－１ ここに地図が表示されます 地図を見る 地図を閉じる,5620,足立区立鹿浜第一小学校,東京都足立区谷在家２-２４-１,0.706,0.571,0.666
30732,木根川小学校,東京都 葛飾区 東四つ木１－１０－１ ここに地図が表示されます 地図を見る 地図を閉じる,105637,葛飾区立東四つ木小学校,東京都葛飾区東四つ木２-１３-１,0.8,0.286,0.646
30778,一之江小学校,東京都 江戸川区 一之江４－５－１ ここに地図が表示されます 地図を見る 地図を閉じる,5723,江戸川区立西一之江小学校,東京都江戸川区松江７-１７-１,0.5,0.857,0.607
30806,【閉校】上一色小学校,東京都 江戸川区 西小岩２－４－１ ここに地図が表示されます 地図を見る 地図を閉じる,5706,葛飾区立松上小学校,東京都葛飾区西新小岩２-１-１,0.824,0.222,0.643
30832,【閉校】清新第三小学校,東京都 江戸川区 清新町１－１－３８ ここに地図が表示されます 地図を見る 地図を閉じる,5747,江戸川区立清新第一小学校,東京都江戸川区清新町１-４-１９,0.667,0.5,0.617
30831,【閉校】清新第二小学校,東京都 江戸川区 清新町２－１０－１ ここに地図が表示されます 地図を見る 地図を閉じる,5747,江戸川区立清新第一小学校,東京都江戸川区清新町１-４-１９,0.667,0.5,0.617
30781,第二松江小学校,東京都 江戸川区 松島２－１６－２０ ここに地図が表示されます 地図を見る 地図を閉じる,5720,江戸川区立松江小学校,東京都江戸川区松江１-１６-５,0.588,0.667,0.612
30818,二之江第三小学校,東京都 江戸川区 江戸川５－１８－３ ここに地図が表示されます 地図を見る 地図を閉じる,5732,江戸川区立二之江第二小学校,東京都江戸川区春江町５-１３,0.625,0.8,0.677
30785,【閉校】平井第二小学校,東京都 江戸川区 平井６－１－１７ ここに地図が表示されます 地図を見る 地図を閉じる,5715,江戸川区立平井小学校,東京都江戸川区平井６-３５-１,0.75,0.4,0.645
30787,平井南小学校,東京都 江戸川区 平井３－３－１ ここに地図が表示されます 地図を見る 地図を閉じる,5715,江戸川区立平井小学校,東京都江戸川区平井６-３５-１,0.8,0.8,0.8
30876,第六小学校,東京都 八王子市 子安町２－１９－１ ここに地図が表示されます 地図を見る 地図を閉じる,5793,立川市立第八小学校,東京都立川市幸町２-１-１,0.75,0.5,0.675
30938,第五小学校,東京都 武蔵野市 関前３－２－２０ ここに地図が表示されます 地図を見る 地図を閉じる,6080,多摩市立多摩第一小学校,東京都多摩市関戸３-２-２３,0.75,0.333,0.625
31001,【閉校】つつじが丘北小学校,東京都 昭島市 つつじが丘２－１－３０ ここに地図が表示されます 地図を見る 地図を閉じる,86141,昭島市立つつじが丘小学校,東京都昭島市つつじが丘二丁目１番30号,0.696,0.667,0.687
27622,宇都宮大学教育学部附属小学校,栃木県 宇都宮市 松原１－７－３８ ここに地図が表示されます 地図を見る 地図を閉じる,13015,宇都宮大学共同教育学部附属小学校,栃木県宇都宮市松原1丁目7番38号,0.706,0.917,0.769
27626,桜小学校,栃木県 宇都宮市 桜３－２－２２ ここに地図が表示されます 地図を見る 地図を閉じる,12965,宇都宮市立桜小学校,栃木県宇都宮市桜３丁目２番２２号,0.667,1.0,0.767
